iteration	evaluations	runtime[s]	Bloques_Colocados-MAX[24][MAX]
804	20100	0.56	9
805	20125	0.561	9
806	20150	0.561	9
807	20175	0.561	9
808	20200	0.562	9
809	20225	0.562	9
810	20250	0.563	9
811	20275	0.563	9
812	20300	0.564	9
813	20325	0.565	9
814	20350	0.565	9
815	20375	0.566	9
816	20400	0.566	9
817	20425	0.566	9
818	20450	0.567	9
819	20475	0.567	9
820	20500	0.568	9
821	20525	0.568	9
822	20550	0.568	9
823	20575	0.569	9
824	20600	0.569	9
825	20625	0.569	9
826	20650	0.57	9
827	20675	0.57	9
828	20700	0.571	9
829	20725	0.571	9
830	20750	0.572	9
831	20775	0.572	9
832	20800	0.572	9
833	20825	0.573	9
834	20850	0.573	9
835	20875	0.573	9
836	20900	0.576	9
837	20925	0.576	9
838	20950	0.577	9
839	20975	0.577	9
840	21000	0.577	9
841	21025	0.578	9
842	21050	0.578	9
843	21075	0.579	9
844	21100	0.579	9
845	21125	0.579	9
846	21150	0.58	9
847	21175	0.58	9
848	21200	0.58	9
849	21225	0.581	9
850	21250	0.581	9
851	21275	0.582	9
852	21300	0.582	9
853	21325	0.582	9
854	21350	0.583	9
855	21375	0.583	9
856	21400	0.584	9
857	21425	0.584	9
858	21450	0.584	9
859	21475	0.585	9
860	21500	0.585	9
861	21525	0.586	9
862	21550	0.586	9
863	21575	0.586	9
864	21600	0.587	9
865	21625	0.587	9
866	21650	0.588	9
867	21675	0.588	9
868	21700	0.588	9
869	21725	0.589	9
870	21750	0.589	9
871	21775	0.589	9
872	21800	0.59	9
873	21825	0.59	9
874	21850	0.591	9
875	21875	0.591	9
876	21900	0.592	9
877	21925	0.592	9
878	21950	0.593	9
879	21975	0.593	9
880	22000	0.594	9
881	22025	0.594	9
882	22050	0.595	9
883	22075	0.595	9
884	22100	0.595	9
885	22125	0.596	9
886	22150	0.596	9
887	22175	0.596	9
888	22200	0.597	9
889	22225	0.597	9
890	22250	0.598	9
891	22275	0.598	9
892	22300	0.598	9
893	22325	0.599	9
894	22350	0.599	9
895	22375	0.6	9
896	22400	0.6	9
897	22425	0.6	9
898	22450	0.601	9
899	22475	0.601	9
900	22500	0.602	9
901	22525	0.602	9
902	22550	0.602	9
903	22575	0.603	9
904	22600	0.604	9
905	22625	0.604	9
906	22650	0.605	9
907	22675	0.605	9
908	22700	0.606	9
909	22725	0.606	9
910	22750	0.607	9
911	22775	0.607	9
912	22800	0.607	9
913	22825	0.608	9
914	22850	0.608	9
915	22875	0.609	9
916	22900	0.609	9
917	22925	0.61	9
918	22950	0.61	9
919	22975	0.611	9
920	23000	0.611	9
921	23025	0.611	9
922	23050	0.612	9
923	23075	0.612	9
924	23100	0.613	9
925	23125	0.613	9
926	23150	0.613	9
927	23175	0.614	9
928	23200	0.614	9
929	23225	0.614	9
930	23250	0.615	9
931	23275	0.615	9
932	23300	0.616	9
933	23325	0.616	9
934	23350	0.616	9
935	23375	0.617	9
936	23400	0.617	9
937	23425	0.618	9
938	23450	0.618	9
939	23475	0.618	9
940	23500	0.619	9
941	23525	0.619	9
942	23550	0.62	9
943	23575	0.62	9
944	23600	0.62	9
945	23625	0.621	9
946	23650	0.621	9
947	23675	0.622	9
948	23700	0.622	9
949	23725	0.622	9
950	23750	0.623	9
951	23775	0.623	9
952	23800	0.624	9
953	23825	0.624	9
954	23850	0.625	9
955	23875	0.625	9
956	23900	0.626	9
957	23925	0.626	9
958	23950	0.627	9
959	23975	0.627	9
960	24000	0.628	9
961	24025	0.628	9
962	24050	0.628	9
963	24075	0.629	9
964	24100	0.629	9
965	24125	0.63	9
966	24150	0.63	9
967	24175	0.63	9
968	24200	0.631	9
969	24225	0.631	9
970	24250	0.632	9
971	24275	0.632	9
972	24300	0.632	9
973	24325	0.633	9
974	24350	0.633	9
975	24375	0.633	9
976	24400	0.634	9
977	24425	0.634	9
978	24450	0.636	9
979	24475	0.637	9
980	24500	0.637	9
981	24525	0.638	9
982	24550	0.638	9
983	24575	0.639	9
984	24600	0.639	9
985	24625	0.64	9
986	24650	0.641	9
987	24675	0.642	9
988	24700	0.642	9
989	24725	0.643	9
990	24750	0.644	9
991	24775	0.645	9
992	24800	0.646	9
993	24825	0.647	9
994	24850	0.647	9
995	24875	0.648	9
996	24900	0.648	9
997	24925	0.649	9
998	24950	0.649	9
999	24975	0.65	9
1000	25000	0.65	9
